snapshot_id,source_id,source_type,trust_level,item_id,requested_url,final_url,status_code,content_type,byte_size,sha256,local_body_path,metadata_path
2026-05-23T101357Z,k8s_security_docs,html,official,docs_concepts_security_linux_kernel_security_constraints,https://kubernetes.io/docs/concepts/security/linux-kernel-security-constraints/,https://kubernetes.io/docs/concepts/security/linux-kernel-security-constraints/,200,text/html; charset=UTF-8,495267,c82bf641e65385c70617cb8279e6363ea5b42853fc86e29aee1b8e679ae4a60a,/Users/alien/Desktop/Adv ai/rag-k8s-security/submission_ready/data/raw/k8s_security_docs/2026-05-23T101357Z/docs_concepts_security_linux_kernel_security_constraints/body.html,/Users/alien/Desktop/Adv ai/rag-k8s-security/submission_ready/data/raw/k8s_security_docs/2026-05-23T101357Z/docs_concepts_security_linux_kernel_security_constraints/metadata.json
2026-05-23T101357Z,k8s_security_docs,html,official,docs_concepts_security_hardening_guide_authentication_mechanisms,https://kubernetes.io/docs/concepts/security/hardening-guide/authentication-mechanisms/,https://kubernetes.io/docs/concepts/security/hardening-guide/authentication-mechanisms/,200,text/html; charset=UTF-8,489213,42ade084be11bc819dfe7cd65e4cc83bb7a492d5d9cffb28b535cfef1ee6aa07,/Users/alien/Desktop/Adv ai/rag-k8s-security/submission_ready/data/raw/k8s_security_docs/2026-05-23T101357Z/docs_concepts_security_hardening_guide_authentication_mechanisms/body.html,/Users/alien/Desktop/Adv ai/rag-k8s-security/submission_ready/data/raw/k8s_security_docs/2026-05-23T101357Z/docs_concepts_security_hardening_guide_authentication_mechanisms/metadata.json
2026-05-23T101357Z,k8s_security_docs,html,official,docs_concepts_security_api_server_bypass_risks,https://kubernetes.io/docs/concepts/security/api-server-bypass-risks/,https://kubernetes.io/docs/concepts/security/api-server-bypass-risks/,200,text/html; charset=UTF-8,489111,6243b340e9871fca1e3c4971f9a6ecbbbb71a6c7233047bd9595c3862c19833b,/Users/alien/Desktop/Adv ai/rag-k8s-security/submission_ready/data/raw/k8s_security_docs/2026-05-23T101357Z/docs_concepts_security_api_server_bypass_risks/body.html,/Users/alien/Desktop/Adv ai/rag-k8s-security/submission_ready/data/raw/k8s_security_docs/2026-05-23T101357Z/docs_concepts_security_api_server_bypass_risks/metadata.json
2026-05-23T101357Z,k8s_security_docs,html,official,docs_concepts_security_security_checklist,https://kubernetes.io/docs/concepts/security/security-checklist/,https://kubernetes.io/docs/concepts/security/security-checklist/,200,text/html; charset=UTF-8,504577,9771092fea2b43e33d32847bfb21badf1aa248094a50763b312a447b9d986d8c,/Users/alien/Desktop/Adv ai/rag-k8s-security/submission_ready/data/raw/k8s_security_docs/2026-05-23T101357Z/docs_concepts_security_security_checklist/body.html,/Users/alien/Desktop/Adv ai/rag-k8s-security/submission_ready/data/raw/k8s_security_docs/2026-05-23T101357Z/docs_concepts_security_security_checklist/metadata.json
2026-05-23T101357Z,k8s_security_docs,html,official,docs_concepts_security_application_security_checklist,https://kubernetes.io/docs/concepts/security/application-security-checklist/,https://kubernetes.io/docs/concepts/security/application-security-checklist/,200,text/html; charset=UTF-8,489395,e843ef1890019ae9f1c6b60c7e18bc8c5215ed929f0c0cd9d126027d1ca697b8,/Users/alien/Desktop/Adv ai/rag-k8s-security/submission_ready/data/raw/k8s_security_docs/2026-05-23T101357Z/docs_concepts_security_application_security_checklist/body.html,/Users/alien/Desktop/Adv ai/rag-k8s-security/submission_ready/data/raw/k8s_security_docs/2026-05-23T101357Z/docs_concepts_security_application_security_checklist/metadata.json
2026-05-23T101357Z,k8s_access_control_docs,html,official,docs_reference_access_authn_authz,https://kubernetes.io/docs/reference/access-authn-authz/,https://kubernetes.io/docs/reference/access-authn-authz/,200,text/html; charset=UTF-8,481749,398d0cddbe678922c9aaaafb77825c478c21e32290d244bc6da2dce16518129c,/Users/alien/Desktop/Adv ai/rag-k8s-security/submission_ready/data/raw/k8s_access_control_docs/2026-05-23T101357Z/docs_reference_access_authn_authz/body.html,/Users/alien/Desktop/Adv ai/rag-k8s-security/submission_ready/data/raw/k8s_access_control_docs/2026-05-23T101357Z/docs_reference_access_authn_authz/metadata.json
2026-05-23T101357Z,k8s_access_control_docs,html,official,docs_reference_access_authn_authz_authentication,https://kubernetes.io/docs/reference/access-authn-authz/authentication/,https://kubernetes.io/docs/reference/access-authn-authz/authentication/,200,text/html; charset=UTF-8,720818,d40f9d9522f290b30e014770872fbba7f777b1c614a7556039944d8bcecda092,/Users/alien/Desktop/Adv ai/rag-k8s-security/submission_ready/data/raw/k8s_access_control_docs/2026-05-23T101357Z/docs_reference_access_authn_authz_authentication/body.html,/Users/alien/Desktop/Adv ai/rag-k8s-security/submission_ready/data/raw/k8s_access_control_docs/2026-05-23T101357Z/docs_reference_access_authn_authz_authentication/metadata.json
2026-05-23T101357Z,k8s_access_control_docs,html,official,docs_reference_access_authn_authz_authorization,https://kubernetes.io/docs/reference/access-authn-authz/authorization/,https://kubernetes.io/docs/reference/access-authn-authz/authorization/,200,text/html; charset=UTF-8,530797,9877dc691023d39e4b9c85f8331420481d8cc76d5710dd5b6ba5fe32f201f45a,/Users/alien/Desktop/Adv ai/rag-k8s-security/submission_ready/data/raw/k8s_access_control_docs/2026-05-23T101357Z/docs_reference_access_authn_authz_authorization/body.html,/Users/alien/Desktop/Adv ai/rag-k8s-security/submission_ready/data/raw/k8s_access_control_docs/2026-05-23T101357Z/docs_reference_access_authn_authz_authorization/metadata.json
2026-05-23T101357Z,k8s_access_control_docs,html,official,docs_reference_access_authn_authz_rbac,https://kubernetes.io/docs/reference/access-authn-authz/rbac/,https://kubernetes.io/docs/reference/access-authn-authz/rbac/,200,text/html; charset=UTF-8,614684,0e143f102e00643673b0ef0bdf3a2f799e05b8f953dd5eabaae7980362a339b0,/Users/alien/Desktop/Adv ai/rag-k8s-security/submission_ready/data/raw/k8s_access_control_docs/2026-05-23T101357Z/docs_reference_access_authn_authz_rbac/body.html,/Users/alien/Desktop/Adv ai/rag-k8s-security/submission_ready/data/raw/k8s_access_control_docs/2026-05-23T101357Z/docs_reference_access_authn_authz_rbac/metadata.json
2026-05-23T101357Z,k8s_access_control_docs,html,official,docs_reference_access_authn_authz_admission_controllers,https://kubernetes.io/docs/reference/access-authn-authz/admission-controllers/,https://kubernetes.io/docs/reference/access-authn-authz/admission-controllers/,200,text/html; charset=UTF-8,550660,ca82e31f54acb75e99cf559e82db657004dd5b85c41489c6c177a27e9f80d64f,/Users/alien/Desktop/Adv ai/rag-k8s-security/submission_ready/data/raw/k8s_access_control_docs/2026-05-23T101357Z/docs_reference_access_authn_authz_admission_controllers/body.html,/Users/alien/Desktop/Adv ai/rag-k8s-security/submission_ready/data/raw/k8s_access_control_docs/2026-05-23T101357Z/docs_reference_access_authn_authz_admission_controllers/metadata.json
