snapshot_id,source_id,source_type,requested_url,error_type,error_message
2026-05-27T191537Z,nsa_cisa_k8s_hardening,pdf,https://media.defense.gov/2022/Aug/29/2003066362/1/1/0/CTR_KUBERNETES_HARDENING_GUIDANCE_1.2_20220829.PDF,HTTPError,403 Client Error: Forbidden for url: https://media.defense.gov/2022/Aug/29/2003066362/1/1/0/CTR_KUBERNETES_HARDENING_GUIDANCE_1.2_20220829.PDF
2026-05-27T191537Z,learn_kubernetes_security_book,pdf,https://edu.anarcho-copy.org/GNU%20Linux%20-%20Unix-Like/DevOps/Learn%20Kubernetes%20Security.pdf,ReadTimeout,"HTTPSConnectionPool(host='edu.anarcho-copy.org', port=443): Read timed out. (read timeout=30)"
